0, +4.5981e-06, +9.4811e-02, +1.4196e-03, +1.4122e+00, +2.0512e-05, 0.000000e+00, 1.275923e-02, -4.052043e-04, 4.743594e-07,
100, +1.4535e-05, +1.9597e-02, +5.4073e-03, +4.3506e+00, +1.6164e-07, 0.000000e+00, 5.453665e-03, -3.681695e-04, 7.467461e-07,
200, +4.1733e-06, +1.0751e-02, +6.8368e-03, +1.2905e+00, +1.0247e-07, 0.000000e+00, 3.633578e-03, -4.028530e-04, 8.669249e-07,
300, +2.9677e-06, +7.2358e-03, +3.6500e-03, +9.3272e-01, +7.9894e-08, 0.000000e+00, 2.912310e-03, -7.038344e-06, 9.444032e-07,
400, +3.1882e-06, +5.4806e-03, +2.5458e-03, +9.3321e-01, +6.6951e-08, 0.000000e+00, 2.514323e-03, -3.493123e-05, 9.830425e-07,
500, +1.9255e-06, +4.6562e-03, +1.4929e-03, +5.9877e-01, +5.8556e-08, 0.000000e+00, 2.252985e-03, -1.150431e-05, 1.014003e-06,
600, +2.4112e-06, +3.9376e-03, +1.5063e-03, +7.5091e-01, +5.2819e-08, 0.000000e+00, 2.064243e-03, -3.819559e-04, 1.034455e-06,
700, +1.8703e-06, +3.3680e-03, +2.1605e-03, +5.8379e-01, +4.8021e-08, 0.000000e+00, 1.919918e-03, -3.306748e-04, 1.058753e-06,
800, +1.9323e-06, +3.0391e-03, +2.0623e-03, +5.9884e-01, +4.4688e-08, 0.000000e+00, 1.805017e-03, -3.096985e-04, 1.074121e-06,
900, +1.6262e-06, +2.7959e-03, +1.6647e-03, +5.0649e-01, +4.1713e-08, 0.000000e+00, 1.710714e-03, 4.302065e-05, 1.087185e-06,
1000, +1.8162e-06, +2.5610e-03, +1.1282e-03, +5.6452e-01, +3.9172e-08, 0.000000e+00, 1.631678e-03, -5.646503e-06, 1.094218e-06,
1100, +1.7962e-06, +2.3540e-03, +1.1782e-03, +5.5655e-01, +3.7266e-08, 0.000000e+00, 1.564267e-03, -5.694193e-05, 1.102162e-06,
1200, +1.4089e-06, +2.1661e-03, +1.1810e-03, +4.3741e-01, +3.5452e-08, 0.000000e+00, 1.505928e-03, -3.645259e-04, 1.110860e-06,
1300, +1.6168e-06, +2.0285e-03, +1.6794e-03, +5.0034e-01, +3.3739e-08, 0.000000e+00, 1.454783e-03, -3.105344e-04, 1.120589e-06,
1400, +1.5793e-06, +1.9408e-03, +1.4272e-03, +4.8878e-01, +3.2474e-08, 0.000000e+00, 1.409540e-03, -2.193686e-04, 1.128686e-06,
1500, +1.3785e-06, +1.8456e-03, +1.1965e-03, +4.2712e-01, +3.1311e-08, 0.000000e+00, 1.369192e-03, 4.808996e-05, 1.131314e-06,
1600, +1.4255e-06, +1.7538e-03, +1.0114e-03, +4.3941e-01, +3.0190e-08, 0.000000e+00, 1.332971e-03, -2.238846e-06, 1.134311e-06,
1700, +1.3454e-06, +1.6658e-03, +9.8855e-04, +4.1578e-01, +2.9111e-08, 0.000000e+00, 1.300225e-03, -1.210617e-04, 1.136181e-06,
1800, +1.2469e-06, +1.5834e-03, +1.0299e-03, +3.8582e-01, +2.8147e-08, 0.000000e+00, 1.270448e-03, -3.466279e-04, 1.142893e-06,
1900, +1.3069e-06, +1.5130e-03, +1.3224e-03, +4.0182e-01, +2.7413e-08, 0.000000e+00, 1.243221e-03, -2.940975e-04, 1.147717e-06,
2000, +1.1647e-06, +1.4785e-03, +1.0793e-03, +3.5937e-01, +2.6695e-08, 0.000000e+00, 1.218237e-03, -1.489208e-04, 1.153454e-06,
2100, +1.1132e-06, +1.4363e-03, +8.7525e-04, +3.4348e-01, +2.5989e-08, 0.000000e+00, 1.195230e-03, 4.368120e-05, 1.153346e-06,
2200, +1.1410e-06, +1.3917e-03, +8.0458e-04, +3.5059e-01, +2.5305e-08, 0.000000e+00, 1.173982e-03, -8.299029e-06, 1.154992e-06,
2300, +1.0937e-06, +1.3452e-03, +8.3910e-04, +3.3635e-01, +2.4639e-08, 0.000000e+00, 1.154291e-03, -1.692462e-04, 1.155326e-06,
2400, +9.8042e-07, +1.3036e-03, +9.5369e-04, +3.0248e-01, +2.4016e-08, 0.000000e+00, 1.135981e-03, -3.297485e-04, 1.160691e-06,
2500, +1.1710e-06, +1.2534e-03, +1.0747e-03, +3.5883e-01, +2.3556e-08, 0.000000e+00, 1.118896e-03, -2.724811e-04, 1.164060e-06,
2600, +9.2027e-07, +1.2214e-03, +8.7483e-04, +2.8238e-01, +2.3102e-08, 0.000000e+00, 1.102919e-03, -9.904756e-05, 1.167929e-06,
2700, +9.7507e-07, +1.1979e-03, +6.9214e-04, +2.9925e-01, +2.2651e-08, 0.000000e+00, 1.087952e-03, 3.581691e-05, 1.166894e-06,
